[0] Error : 284.85303, Learning Rate : 0.00500, Decay Factor : 0.50000, Train Correct 5 out of 100, Valid Correct 0 out of 4
[1] Error : 261.98499, Learning Rate : 0.00500, Decay Factor : 0.50000, Train Correct 5 out of 100, Valid Correct 0 out of 4
[2] Error : 231.20914, Learning Rate : 0.00500, Decay Factor : 0.50000, Train Correct 5 out of 100, Valid Correct 0 out of 4
[3] Error : 199.21175, Learning Rate : 0.00500, Decay Factor : 0.50000, Train Correct 5 out of 100, Valid Correct 0 out of 4
[4] Error : 168.31943, Learning Rate : 0.00500, Decay Factor : 0.50000, Train Correct 5 out of 100, Valid Correct 0 out of 4
[5] Error : 139.85861, Learning Rate : 0.00500, Decay Factor : 0.50000, Train Correct 5 out of 100, Valid Correct 0 out of 4
[6] Error : 115.28397, Learning Rate : 0.00500, Decay Factor : 0.50000, Train Correct 4 out of 100, Valid Correct 0 out of 4
[7] Error : 95.76943, Learning Rate : 0.00500, Decay Factor : 0.50000, Train Correct 4 out of 100, Valid Correct 0 out of 4
[8] Error : 81.53737, Learning Rate : 0.00500, Decay Factor : 0.50000, Train Correct 4 out of 100, Valid Correct 0 out of 4
[9] Error : 71.81828, Learning Rate : 0.00500, Decay Factor : 0.50000, Train Correct 4 out of 100, Valid Correct 0 out of 4
[10] Error : 65.40054, Learning Rate : 0.00500, Decay Factor : 0.50000, Train Correct 4 out of 100, Valid Correct 0 out of 4
[11] Error : 61.17123, Learning Rate : 0.00500, Decay Factor : 0.50000, Train Correct 4 out of 100, Valid Correct 0 out of 4
[12] Error : 58.32683, Learning Rate : 0.00500, Decay Factor : 0.50000, Train Correct 4 out of 100, Valid Correct 0 out of 4
[13] Error : 56.35135, Learning Rate : 0.00500, Decay Factor : 0.50000, Train Correct 4 out of 100, Valid Correct 0 out of 4
[14] Error : 54.92897, Learning Rate : 0.00500, Decay Factor : 0.50000, Train Correct 4 out of 100, Valid Correct 0 out of 4
[15] Error : 53.86808, Learning Rate : 0.00500, Decay Factor : 0.50000, Train Correct 7 out of 100, Valid Correct 0 out of 4
